date, cputemp[degree], cpuload[%], ramUsed[%], diskspaceLeft[%], doIHaveInternet, transferedBytes, arePackagesUpdated
Sun Jun 4 12:54:01 PM CEST 2023, 85, 69.8, 65.4743, 15, 0, 64106443, Yes
Sun Jun 4 12:55:02 PM CEST 2023, 85, 74.8, 64.2218, 15, 0, 64412341, Yes
Sun Jun 4 12:56:02 PM CEST 2023, 84, 73.2, 62.7367, 15, 0, 64678377, Yes
Sun Jun 4 12:57:02 PM CEST 2023, 84, 72.7, 61.2279, 15, 0, 64936853, Yes
Sun Jun 4 12:58:02 PM CEST 2023, 83, 74.1, 59.8266, 15, 0, 65262941, Yes
Sun Jun 4 12:59:01 PM CEST 2023, 85, 73.4, 58.4086, 15, 0, 65532070, Yes
Sun Jun 4 01:00:02 PM CEST 2023, 85, 73.7, 57.4199, 15, 0, 65846982, Yes
Sun Jun 4 01:01:01 PM CEST 2023, 85, 74.2, 56.0713, 15, 0, 66204496, Yes
Sun Jun 4 01:02:02 PM CEST 2023, 85, 72.6, 55.12, 15, 0, 66536452, Yes
Sun Jun 4 11:34:01 AM CEST 2023, 84, 48.0, 90.5053, 15, 1, 7686, Yes
Sun Jun 4 01:07:33 PM CEST 2023, 79, 25.0, 82.1097, 15, 1, 710114, Yes
Sun Jun 4 01:08:01 PM CEST 2023, 84, 65.5, 80.5121, 15, 1, 1185165, Yes
Sun Jun 4 01:09:01 PM CEST 2023, 85, 56.3, 77.3658, 15, 1, 2790684, Yes
Sun Jun 4 01:10:01 PM CEST 2023, 85, 68.6, 74.0349, 15, 1, 4915793, Yes
Sun Jun 4 01:11:01 PM CEST 2023, 85, 66.4, 74.8333, 15, 1, 5568525, Yes
Sun Jun 4 01:12:01 PM CEST 2023, 84, 62.2, 74.1031, 15, 1, 6216918, Yes
Sun Jun 4 01:13:01 PM CEST 2023, 84, 58.9, 71.4036, 15, 1, 7011179, Yes
Sun Jun 4 01:14:01 PM CEST 2023, 84, 68.0, 73.1558, 15, 1, 7838076, Yes
Sun Jun 4 01:15:01 PM CEST 2023, 85, 75.8, 73.2254, 15, 1, 8551846, Yes
Sun Jun 4 01:16:01 PM CEST 2023, 83, 61.8, 72.6199, 15, 1, 9727253, Yes
Sun Jun 4 01:17:01 PM CEST 2023, 81, 29.2, 72.767, 15, 1, 10850429, Yes
Sun Jun 4 01:18:01 PM CEST 2023, 84, 60.8, 72.6555, 15, 1, 11805677, Yes
Sun Jun 4 01:19:01 PM CEST 2023, 82, 25.5, 72.3436, 15, 1, 12777485, Yes
Sun Jun 4 01:20:02 PM CEST 2023, 82, 70.9, 72.291, 15, 1, 13674864, Yes
Sun Jun 4 01:21:01 PM CEST 2023, 81, 56.9, 72.0845, 15, 1, 14557139, Yes
Sun Jun 4 01:22:01 PM CEST 2023, 81, 47.5, 72.7538, 15, 1, 15446021, Yes
Sun Jun 4 01:23:00 PM CEST 2023, 82, 25.8, 72.6221, 15, 1, 16351116, Yes
Sun Jun 4 01:24:00 PM CEST 2023, 80, 48.0, 72.6831, 15, 1, 17258695, Yes
Sun Jun 4 01:25:00 PM CEST 2023, 82, 23.9, 72.76, 15, 1, 22881322, Yes
Sun Jun 4 01:26:01 PM CEST 2023, 80, 45.8, 72.5623, 15, 1, 33681325, Yes
Sun Jun 4 01:27:01 PM CEST 2023, 80, 41.9, 72.7441, 15, 1, 34586312, Yes
Sun Jun 4 01:28:01 PM CEST 2023, 81, 54.7, 71.8502, 15, 1, 35524093, Yes
Sun Jun 4 01:29:01 PM CEST 2023, 81, 43.8, 72.6963, 15, 0, 36834825, Yes
Sun Jun 4 01:30:01 PM CEST 2023, 80, 43.6, 72.3762, 15, 0, 37728931, Yes
Sun Jun 4 01:31:01 PM CEST 2023, 81, 46.8, 72.1688, 15, 0, 38475764, Yes
Sun Jun 4 01:32:01 PM CEST 2023, 81, 66.2, 86.787, 15, 0, 244675, Yes
Sun Jun 4 01:33:01 PM CEST 2023, 83, 60.2, 77.1077, 15, 0, 1101221, Yes
Sun Jun 4 01:34:01 PM CEST 2023, 84, 67.9, 77.052, 15, 0, 2701120, Yes
Sun Jun 4 01:35:01 PM CEST 2023, 84, 63.8, 74.7745, 15, 0, 3438713, Yes
Sun Jun 4 01:36:01 PM CEST 2023, 83, 71.7, 75.0828, 15, 0, 4192681, Yes
